,Toode,Hind
226,"Papaia, kg","7,99 €  7,99 €/kg "
227,"Tšillipipar pakitud taldrikule, kg","18,99 €  18,99 €/kg "
228,"Jõhvika mahl, TAARAPÕLLU TALU, 500 ml","1,29 € 4,30 €/l "
229,"Mango, banaani, õuna värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 750 ml","4,99 € 6,65 €/l "
230,"Herneidud (herne, rohelise ja punase läätse idud), IDUFIRMA, 170 g","2,69 €  15,82 €/kg "
231,"Värskekapsasalat tilliga, DIMDINI, 650 g","1,49 €  2,29 €/kg "
232,"Estragon potis, JÄRVIKYLA, tk","1,99 €  1,99 €/tk "
233,"Mango-banaani smuuti, FRUUTI, 750 ml","6,99 € 9,32 €/l "
234,"Rediseidud (redise, lutserni ja punase ristiku idud), IDUFIRMA, 110 g","2,69 €  24,45 €/kg "
235,"Praekapsas Saksa stiilis, DIMDINI, 500 g","1,49 €  2,98 €/kg "
236,"Passionfruit pakitud, 4 tk","3,99 €  1,00 €/tk "
237,"Praekapsas punane Saksapärane, DIMDINI, 500 g","1,49 €  2,98 €/kg "
238,"Ananassi-kookose smuuti, FRUUTI, 750 ml","5,49 € 7,32 €/l "
239,"Aroonia mahl, TAARAPÕLLU TALU, 500 ml","12,99 € 18,56 €/l "
240,"Mustsõstra mahl, TAARAPÕLLU TALU, 500 ml","15,99 € 22,84 €/l "
241,"Astelpaju mahl, TAARAPÕLLU TALU, 500 ml","9,99 € 13,32 €/l "
242,"Porgandi-õunamahl, MANA, 250 ml","1,69 € 6,76 €/l "
243,"Muhe Porgandi-astelpajunektar, LARGO, 500 ml","19,99 € 26,65 €/l "
244,"Maasika-banaani-guajaavi smuuti, FROOSH, 750 ml","6,49 € 8,65 €/l "
245,"Kuivatatud kivipuravik, EESTI AND, 35 g","4,99 €  142,57 €/kg "
246,"Mitme marja mahl, TAARAPÕLLU TALU, 500 ml","19,90 € 39,80 €/l "
247,"Marineeritud šampinjonid, EESTI AND, 500 g","3,99 €  7,98 €/kg "
248,"Astelpaju mahlajook, 330 ml","19,99 €  19,99 €/kg "
249,"Pohla mahl, TAARAPÕLLU TALU, 500 ml","2,69 € 5,38 €/l "
250,"Magus mini paprika, 130 g","2,49 €  12,45 €/kg "
251,"Kukeseen marineeritud, EESTI AND, 500 g","4,99 €  9,98 €/kg "
252,"Smuuti Ever Green (klaas), LARGO, 250 ml","7,49 € 9,99 €/l "
253,"Smuuti Life’s a Beach (klaas), LARGO, 250 ml","24,90 € 35,57 €/l "
254,"Kuivatatud kukeseen, EESTI AND, 30 g","4,99 €  166,33 €/kg "
255,"Avokaado söömisküps, kg","8,99 €  8,99 €/kg "
256,"Rabarberi mahl, TAARAPÕLLU TALU, 500 ml","9,99 €  13,32 €/l "
257,"Jõhvikad šokoladi glasuuris, 80 g","2,49 €  31,13 €/kg "
258,"Kuivatatud Must torbikseen, EESTI AND, 25 g","4,99 €  199,60 €/kg "
259,"Smuuti Love Berries (klaas), LARGO, 250 ml","15,99 € 31,98 €/l "
260,"Pitahaia, kg","25,90 €  25,90 €/kg "
261,"Kumkvaat, kg","9,99 €  9,99 €/kg "
262,"Tamarind, 450 g","4,99 €  11,09 €/kg "
