,Toode,Hind
345,"Ingveri, rohelise tšilli ja spinati Shot, FRANKLY, 60 ml","7,99 € 15,98 €/l "
346,"Smuuti ananassi, peedi, aloe vera ja ingveri, FROOSH, 250 ml","8,99 € 17,98 €/l "
347,"Smuuti vaarika ja mustika, PAI, 750ml","7,99 €  15,98 €/l "
348,"Smuuti meloni ja passiooni, PAI, 280ml","17,99 €  23,99 €/l "
349,"Smuuti maasika ja banaani, PAI, 750ml","29,90 €  59,80 €/l "
350,"Smuut mango ja apelsini, PAI, 750ml","12,99 €  17,32 €/l "
351,"Smuuti mango ja apelsini, SMUSHIE, 240 ml","37,90 €  54,14 €/l "
352,"Smuuti ploomi ja mustasõstra, SMUSHIE, 240 ml","0,99 € 3,00 €/l "
353,"Smuuti vaarika ja mustika, SMUSHIE, 240 ml","1,79 €  1,79 €/l "
354,"Kodune hakkliha, RAKVERE LK, 400 g","1,95 €  4,88 €/kg "
355,"Kodune hakkliha, MAKS&MOORITS, 500 g","2,69 €  5,38 €/kg "
356,Lõhefilee jahutatud ctrim,"9,99 € 9,99 €/kg "
357,"Delikatesshakkliha, MAKS&MOORITS, 300 g","13,99 € 13,99 €/kg "
358,"Eestimaine broilerifilee, TALLEGG, kg","2,39 €  7,97 €/kg "
359,"Veisehakkliha, RAKVERE LK, 400 g","5,19 €  5,19 €/kg "
360,"Ameerikapärane toorsuitsupeekon, RAKVERE LK, 150 g","2,29 €  5,73 €/kg "
361,"Maksapasteet, SELVERI KÖÖK, 150 g","1,89 €  12,60 €/kg "
362,"Ameerikapärane toorsuitsupeekon (3pk ), RAKVERE LK, 450 g","1,15 €  7,67 €/kg "
363,"Sea välisfilee suitsusink, RANNAROOTSI, 150 g","3,99 €  8,87 €/kg "
364,"Mahe lihaveise hakkliha, LIIVIMAA LIHAVEIS, 500 g","1,79 €  11,93 €/kg "
365,"Eestimaise broilerifilee tükid, TALLEGG, 400 g","3,89 €  7,78 €/kg "
366,"Hommikupeekon, NÕO LIHAVÜRST, 135 g","2,79 €  6,98 €/kg "
367,"Eestimaine broilerisisefilee, TALLEGG, 400 g","1,39 €  10,30 €/kg "
368,"Delikatess kanahakklihasegu, TALLEGG, 300 g","3,19 €  7,98 €/kg "
369,"Eestimaine broiler, TALLEGG, kg","2,39 €  7,97 €/kg "
370,"Rakvere viiner, RAKVERE LK, 500 g","2,99 €  2,99 €/kg "
371,"Paneeritud fileešnitsel, MAKS&MOORITS, 280 g","2,19 €  4,38 €/kg "
372,"Paprikalõige, RANNAROOTSI, 150 g","1,89 €  6,75 €/kg "
373,"Seasink välisfileest Ehe, RANNAROOTSI, 120 g","0,89 €  5,93 €/kg "
374,"Snäkk Parmigiano-Reggiano juustuga, NÕO LIHAVÜRST, 85 g","1,19 €  9,92 €/kg "
375,"E-vaba Lihaviiner, OSKAR, 125 g","1,19 €  14,00 €/kg "
376,"Täissuitsuvorst Moskva, MAKS&MOORITS, 240 g","1,19 €  9,52 €/kg "
377,"Viiner Ehe, RANNAROOTSI, 330 g","1,69 €  7,04 €/kg "
378,"Kanafilee, RANNAMÕISA, 550 g","1,89 €  5,73 €/kg "
379,"Tuunikala suured tükid soolvees, KAPTEN GRANT, 185 g","3,79 €  6,89 €/kg "
380,"Täissuitsuvorst Pepperoni, OSKAR, 80 g","1,59 €  8,59 €/kg "
381,"Keeduvorst Laste, RAKVERE LK, 190 g","1,79 €  22,38 €/kg "
382,"Lasteviiner, RAKVERE LK, 200 g","0,99 €  5,21 €/kg "
383,"Kanakintsuliha, RANNAMÕISA, 550 g","1,19 €  5,95 €/kg "
384,"Tuunikala suured tükid õlis, KAPTEN GRANT, 185 g","3,49 €  6,35 €/kg "
385,"Eestimaine broilerikintsuliha, TALLEGG, kg","1,59 €  8,59 €/kg "
386,"Pereviiner, RAKVERE LK, 500 g","5,99 €  5,99 €/kg "
387,"Klassikaline ahjukana, TALLEGG, kg","1,19 €  2,38 €/kg "
388,"Heeringafilee traditsiooniline, VICI, 190 g","4,59 €  4,59 €/kg "
389,"Keeduvorst Laste, RAKVERE LK, 300 g","1,99 €  10,47 €/kg "
390,"Broileri rinnalihasink, KARNI, 300 g","1,09 €  3,63 €/kg "
391,"Eestimaise broileripoolkoiva tükid, TALLEGG, kg","2,29 €  7,63 €/kg "
392,"Kanafileehakkliha fitness, TALLEGG, 300 g","2,79 €  2,79 €/kg "
393,"Fuetec salaami, ELPOZO, 170 g","2,49 €  8,30 €/kg "
394,"Suitsupeekon, OSKAR, 120 g","2,99 €  17,59 €/kg "
395,"Seavälisfileest minutipihv, RAKVERE LK, 475 g","1,79 €  14,92 €/kg "
396,"Kalkunifilee sink, MAKS&MOORITS, 170 g","3,49 €  7,35 €/kg "
397,"Peekonilõigud, RAKVERE LK, 450 g","1,99 €  11,71 €/kg "
398,"Laste toorvorstikesed, RANNAROOTSI, 450 g","3,39 €  7,53 €/kg "
399,"Toored grillvorstid lambasooles, VASTSE-KUUSTE, 500 g","3,99 €  8,87 €/kg "
400,"Delikatess-sink tailihast, MAKS&MOORITS, 170 g","3,49 €  6,98 €/kg "
401,"Kanafileenagitsad, TALLEGG, 300 g","2,19 €  12,88 €/kg "
402,"E-vaba suitsupeekon, OSKAR, 120 g","1,99 €  6,63 €/kg "
403,"Pitsasink, MAKS&MOORITS, 250 g","1,99 €  16,58 €/kg "
404,"Kanafileesink, TALLEGG, 190 g","1,99 €  7,96 €/kg "
405,"Lastevorst, RAKVERE LK, 600 g","1,89 €  9,95 €/kg "
406,"Eestimaine broilerikoib, TALLEGG, kg","2,79 €  4,65 €/kg "
407,"Seakaelakarbonaadi lõigud, RAKVERE LK, 450 g","2,79 €  2,79 €/kg "
408,"Kuningate sink, KARNI, 120 g","3,79 €  8,42 €/kg "
409,"Seavälisfilee sink, MAKS&MOORITS, 150 g","1,99 €  16,58 €/kg "
410,"Lõhe roogitud, jahutatud, kg","1,99 €  13,27 €/kg "
411,"Suitsusink Õhemast Õhem, MAKS&MOORITS, 170 g","8,99 €  8,99 €/kg "
412,"Seahakkliha, MAKS&MOORITS, 500 g","2,09 €  12,29 €/kg "
413,"Mini lihapallid, RAKVERE LK, 300 g","2,99 €  5,98 €/kg "
414,"Delikatess maksapasteet, NÕO LIHAVÜRST, 200 g","2,39 €  7,97 €/kg "
415,"Sea sisefilee, RAKVERE LK, kg","8,59 €  8,59 €/kg "
416,"Suitsupeekon, RAKVERE LK, 130 g","7,59 €  7,59 €/kg "
417,"Kanakoivatükid, RANNAMÕISA, 550 g","1,99 €  15,31 €/kg "
418,"Keeduvorst Doktori, RAKVERE LK, 300 g","2,49 €  4,53 €/kg "
419,"Täissuitsuvorst Moskva, NÕO LIHAVÜRST, 250 g","1,39 €  4,63 €/kg "
420,"Lihakas Lastevorst, RAKVERE LK, 190 g","3,49 €  13,96 €/kg "
421,"Seahakkliha Extra Protein Power, RAKVERE LK, 300 g","1,49 €  7,84 €/kg "
422,"Eestimaine broileripooltiib, TALLEGG, 400 g","2,19 €  7,30 €/kg "
423,"Rakvere miniviiner, RAKVERE LK, 360 g","1,79 €  4,48 €/kg "
424,"Pitsakate, NÕO LIHAVÜRST, 300 g","1,99 €  5,53 €/kg "
425,"Mustika grill-liha, RAKVERE LK, 500 g","2,49 €  8,30 €/kg "
426,"Suitsutatud sea välisfilee, RAKVERE LK, 130 g","4,99 €  9,98 €/kg "
427,"Veise hakkliha Extra Protein Power, RAKVERE LK, 240 g","1,69 €  13,00 €/kg "
428,"Eestimaine broileripoolkoib, TALLEGG, kg","2,99 €  12,46 €/kg "
429,"Seaguljašš, RAKVERE LK, 450 g","2,99 €  2,99 €/kg "
430,"Krabimaitseline liha Lumekrabi, VICI, 120 g","2,99 €  6,64 €/kg "
431,"Suitsusingike, RAKVERE LK, 130 g","1,39 €  11,58 €/kg "
432,"E-vaba fileesink, OSKAR, 105 g","1,49 €  11,46 €/kg "
433,"Saaremaa Delikatess sült, SAAREMAA LT, 400 g","2,49 €  23,71 €/kg "
434,"Krabimaitselised pulgad Lumekrabipulgad, VICI, 150 g","3,99 €  9,98 €/kg "
435,"Šašlõkk klassikalises marinaadis 600 g, MAKS&MOORITS,","1,89 €  12,60 €/kg "
436,"Kanafilee šašlõkk Fitlap, NÕO LIHAVÜRST, 450 g","4,59 €  8,50 €/kg "
437,"Eestimaise broilerifilee minutipihv, TALLEGG, 400 g","3,99 €  8,87 €/kg "
438,"Maksapasteet, PIHLAKA, 150 g","3,49 €  8,73 €/kg "
439,"Delikatess tagatüki sink, MAKS&MOORITS, 150 g","1,99 €  13,27 €/kg "
440,"Heeringafilee kergsoola, VICI, 220 g","1,99 €  13,27 €/kg "
441,"Vasikamaksapasteet, RANNAROOTSI, 180 g","1,79 €  8,14 €/kg "
442,"Sealihasült, RANNAROOTSI, 330 g","1,19 €  6,61 €/kg "
443,"Kiievi kotlet, TALLEGG, 300 g","2,49 €  7,55 €/kg "
444,"Toorsuitsupeekoni kuubikud, RAKVERE LK, 140 g","3,99 €  13,30 €/kg "
445,"Kuumsuitsu peekon, SAAREMAA LT, 120 g","1,39 €  9,93 €/kg "
446,"Inglisepärane toorsuitsupeekon, RAKVERE LK, 150 g","2,19 €  18,25 €/kg "
447,"Krabimaitselised pulgad, VICI, 300 g","1,99 €  13,27 €/kg "
448,"Pasteet suitsulihakõrnetega, MATSIMOKA, 220 g","2,39 €  7,97 €/kg "
449,"Heeringafilee traditsiooniline, VICI, 400 g","2,79 €  12,68 €/kg "
450,"Sardell, SAAREMAA LT, 330 g","2,59 €  7,85 €/kg "
451,"Perepihvid, RAKVERE LK, 400 g","1,15 €  2,88 €/kg "
452,"Fileest minutipihv mee-tšilliga, TALLEGG, 350 g","3,89 €  11,11 €/kg "
453,"Küpsetatud maksapasteet rõõsa koorega, RAKVERE LK, 200 g","1,69 €  8,45 €/kg "
454,"Delikatessrulaad, TALLEGG, 150 g","1,99 €  13,27 €/kg "
455,"Lihapihvid, MAKS&MOORITS, 400 g","2,59 €  6,48 €/kg "
456,"Lihaveise täissuitsuvorst, RANNAROOTSI, 240 g","3,19 €  13,29 €/kg "
457,"Singi-šampinjoni lõige, RANNAROOTSI, 150 g","1,49 €  9,93 €/kg "
458,"Kanasink Fitlap, NÕO LIHAVÜRST, 105 g","1,59 €  15,14 €/kg "
459,"Keedusalaami Vasalli, NÕO LIHAVÜRST, 105 g","2,29 €  21,81 €/kg "
460,"Täissuitsuvorst E-vaba, OSKAR, 120 g","2,49 €  20,75 €/kg "
461,"Lihakas Lastevorst, RAKVERE LK, 360 g","2,49 €  6,92 €/kg "
462,"Väike viiner juustuga, MAKS&MOORITS, 260 g","1,79 €  6,88 €/kg "
463,"Rulaad Nõo, NÕO LIHAVÜRST, 135 g","1,99 €  14,74 €/kg "
464,"Suitsutatud täislihaviiner, NÕO LIHAVÜRST, 310 g","2,79 €  9,00 €/kg "
465,"Keeduvorst Juustu, RAKVERE LK, 300 g","1,89 €  6,30 €/kg "
466,"Sea kaelakarbonaad, RAKVERE LK, kg","6,99 €  6,99 €/kg "
467,"Sealihasardell, RANNAROOTSI, 500 g","2,79 €  5,58 €/kg "
468,"Graavilõhe viilutatud nahata, kg","24,90 €  24,90 €/kg "
469,"Maitselt mahedad toorvorstikesed, MAKS&MOORITS, 450 g","3,99 €  8,87 €/kg "
470,"Fileesink basiilikuga, KARNI, 120 g","2,19 €  18,25 €/kg "
471,"Juustuvorst, RAKVERE LK, 600 g","3,59 €  5,98 €/kg "
472,"Kana-juustupihvid, TALLEGG, 320 g","1,39 €  4,34 €/kg "
473,"Sealihasült, OSKAR, 330 g","2,49 €  7,55 €/kg "
474,"Armeenia šašlõkk, ARMEENIA GRILL, kg","8,19 €  8,19 €/kg "
475,"Täissuitsuvorst Moskva, WÕRO, 150 g","1,49 €  9,93 €/kg "
476,"Serrano sink, EMBUTIDOS CAULA, 100 g","2,99 €  29,90 €/kg "
477,"Kanasigar, TALLEGG, 200 g","2,59 €  12,95 €/kg "
478,"Maamehe suitsusink, NÕO LIHAVÜRST, 105 g","1,99 €  18,95 €/kg "
479,"Kanalihatasku singi ja juustuga Cordon Bleu, RANNAMÕISA, 375 g","2,49 €  6,64 €/kg "
480,"Suitsupeekon Ehe, RANNAROOTSI, 120 g","1,99 €  16,58 €/kg "
481,"Veiselihasink Õhemast Õhem, MAKS&MOORITS, 170 g","2,19 €  12,88 €/kg "
482,"Sea kaelakarbonaad, RAKVERE LK,","7,59 €  7,59 €/kg "
483,"Doktorivorst, RAKVERE LK, 600 g","2,29 €  3,82 €/kg "
484,"Seastrooganov, RAKVERE LK, 450 g","3,59 €  7,98 €/kg "
485,"Vikerforellifilee jahutatud, kg","12,99 €  12,99 €/kg "
486,"Eestimaine broilerikints, TALLEGG, kg","2,99 €  2,99 €/kg "
487,"Lihakas doktoriviiner, RAKVERE LK, 500 g","3,79 €  7,58 €/kg "
488,"Juustuviiner, SAAREMAA LT, 440 g","3,99 €  9,07 €/kg "
489,"Krabinuudel surimi, VICI, 200 g","1,99 €  9,95 €/kg "
490,"Rakvere õllesigar, RAKVERE LK, 120 g","1,79 €  14,92 €/kg "
491,"Vürtsikilufileed, VIRU RAND, 100 g","1,89 €  18,90 €/kg "
492,"Grill-liha punase veini marinaadis sea välisfileest, RAKVERE LK, 500 g","4,59 €  9,18 €/kg "
493,"Maksapasteet E-vaba, OSKAR, 200 g","1,69 €  8,45 €/kg "
494,"Poolsuitsuvorst Tõmmu, WÕRO, 350 g","1,99 €  5,69 €/kg "
495,"Krabimaitselised pulgad Lumekrabi, VICI, 250 g","2,99 €  11,96 €/kg "
496,"Jogurti broileri fileešašlõkk, TALLEGG, 1 kg","7,49 €  7,49 €/kg "
497,"Fileesteigid kookose-karrimarinaadis, TALLEGG, 500 g","4,59 €  9,18 €/kg "
498,"Kodune pasteet, RANNAROOTSI, 180 g","1,09 €  6,06 €/kg "
499,"Sealihasült, MAKS&MOORITS, 300 g","1,89 €  6,30 €/kg "
500,"Veiserind, OSKAR, 100 g","1,99 €  19,90 €/kg "
501,"Suitsutatud kalkunifileesink, NÕO LIHAVÜRST, 105 g","1,99 €  18,95 €/kg "
502,"Heeringafilee traditsiooniline, VICI, 240 g","1,99 €  8,29 €/kg "
503,"Kalkunisink Fitlap, NÕO LIHAVÜRST, 105 g","1,79 €  17,05 €/kg "
504,"Kanakintsud seljata, RANNAMÕISA, 600 g","2,49 €  4,15 €/kg "
505,"Veisesink välisfileest Ehe, RANNAROOTSI, 120 g","2,49 €  20,75 €/kg "
506,"Kuldne grillribi eelküpsetatud, RANNAROOTSI, 900 g","6,99 €  7,77 €/kg "
507,"Kintsulihast steik kolme juustuga, TALLEGG, 400 g","3,59 €  8,98 €/kg "
508,"Maitselt mahe grillvorst juustuga, MAKS&MOORITS, 600 g","4,59 €  7,65 €/kg "
509,"Viini šnitsel, RANNAROOTSI, 400 g","3,49 €  8,73 €/kg "
510,"Suitsutatud poolkoib, TALLEGG, 600 g","2,99 €  4,98 €/kg "
511,"Lihapihvid juustuga, MAKS&MOORITS, 400 g","2,79 €  6,98 €/kg "
512,"Hirve täissuitsuvorst, RANNAROOTSI, 240 g","3,19 €  13,29 €/kg "
513,"Tailihaviiner, MATSIMOKA, 284 g","2,99 €  10,53 €/kg "
514,"Tarbatu toorsalaami, NÕO LIHAVÜRST, 105 g","2,59 €  24,67 €/kg "
515,"Kuumsuitsu peekon, SAAREMAA LT, kg","11,59 €  11,59 €/kg "
516,"Lihakas doktorivorst, RAKVERE LK, 190 g","1,49 €  7,84 €/kg "
517,"Lastevorst, SAAREMAA LT, 150 g","1,19 €  7,93 €/kg "
518,"Sulajuustutäidisega lihapihvid, MAKS&MOORITS, 400 g","3,19 €  7,98 €/kg "
519,"Koduviiner, MAKS&MOORITS, 500 g","1,69 €  3,38 €/kg "
520,"Rakvere pihvid, RAKVERE LK, 400 g","2,59 €  6,48 €/kg "
521,"Sprotid õlis, RANNAKÜLA, 100 g","1,49 €  14,90 €/kg "
522,"Suitsutatud Juustuvorst, NÕO LIHAVÜRST, 170 g","1,49 €  8,76 €/kg "
523,"Soolalõhe fileelõigud viilutatud, M.V.WOOL, 100 g","3,59 €  35,90 €/kg "
524,"Krabipulgad Smart Choice, VICI, 250 g","1,39 €  5,56 €/kg "
525,"Keeduvorst juustu, VALLA, 600 g","1,49 €  2,48 €/kg "
526,"Mustika grill-ribi, RAKVERE LK, kg","7,99 €  7,99 €/kg "
527,"Broileri fileepall, KIKAS, 200 g","1,59 €  7,95 €/kg "
528,"Keele zeleevorst, OSKAR, 120 g","1,99 €  16,58 €/kg "
529,"Požarski kotlet, TALLEGG, 350 g","2,19 €  6,26 €/kg "
530,"Kirsi-rummimarinaadis grill-liha seavälisfileest, RAKVERE LK, 580 g","4,99 €  8,60 €/kg "
531,"Verikäkk, RAKVERE LK, 440 g","1,49 €  3,39 €/kg "
532,"Täissuitsuvorst Mündi, OSKAR, 210 g","3,99 €  19,00 €/kg "
533,"Sea šašlõkk, ARMEENIA GRILL, kg","8,69 €  8,69 €/kg "
534,"Juustu Super snäkk, MAKS&MOORITS, 85 g","1,79 €  21,06 €/kg "
535,"Lemmikviiner, SAAREMAA LT, 440 g","3,99 €  9,07 €/kg "
536,"Sardell 77.7%, MAKS&MOORITS, 500 g","3,29 €  6,58 €/kg "
537,"Praetud maksaribad, MAKS&MOORITS, 200 g","1,69 €  8,45 €/kg "
538,"Kanapihvid, TALLEGG, 320 g","0,99 €  3,09 €/kg "
539,"Fileeribad jogurti-tilli marinaadis, TALLEGG, 500 g","4,59 €  9,18 €/kg "
540,"Soolaforelli fileelõigud, M.V.WOOL, 100 g","3,49 €  34,90 €/kg "
541,"Pepperoni täissuitsuvorst, OSKAR, 210 g","3,99 €  19,00 €/kg "
542,"Krabimaitselised pulgad, VICI, 150 g","1,29 €  8,60 €/kg "
543,"Hommikusink veiselihast, MAKS&MOORITS, 150 g","1,79 €  11,93 €/kg "
544,"Kanasink tilliga, TALLEGG, 190 g","1,49 €  7,84 €/kg "
545,"Maitselt mahedad grillvorstid, MAKS&MOORITS, 900 g","6,49 €  7,21 €/kg "
546,"Sea seljakarbonaad, SAAREMAA LT, 120 g","1,99 €  16,58 €/kg "
547,"Fileest minutipihv suitsujuustuga, TALLEGG, 350 g","3,99 €  11,40 €/kg "
548,"Mahe lihaveise lihalõiked, LIIVIMAA LIHAVEIS, 390 g","6,59 €  16,90 €/kg "
549,"Pihvid, SAAREMAA LT, 370 g","2,79 €  7,54 €/kg "
550,"Fileeribad klassikalises marinaadis, TALLEGG, 500 g","4,59 €  9,18 €/kg "
551,"Salaami Fuetec Iberico, ELPOZO, 150 g","3,79 €  25,27 €/kg "
552,"Kanapallid, TALLEGG, 360 g","0,99 €  2,75 €/kg "
553,"Baby back searibi, RAKVERE LK, kg","7,99 €  7,99 €/kg "
554,"Väike viiner, MAKS&MOORITS, 260 g","1,59 €  6,12 €/kg "
555,"Fitness kanafilee steigid, TALLEGG, 450 g","3,99 €  8,87 €/kg "
556,"Veisestrooganov, RAKVERE LK, 450 g","5,99 €  13,31 €/kg "
557,"Nagitsad sisefileest, MAKS&MOORITS, 230 g","1,99 €  8,65 €/kg "
558,"Sprotid õlis, RANNAKÜLA, 240 g","1,99 €  8,29 €/kg "
559,"Maitsesalaami, KARNI, 120 g","1,69 €  14,08 €/kg "
560,"Kalkuniliha hakitud, RANNAMÕISA, 400 g","2,99 €  7,48 €/kg "
561,"Keeduvorst Kevadine, SAAREMAA LT, 250 g","1,59 €  6,36 €/kg "
562,"Suitsusardell, RAKVERE LK, 500 g","2,19 €  4,38 €/kg "
563,"Tõmmu suitsuvorst juustuga, WÕRO, 350 g","2,19 €  6,26 €/kg "
564,"Keeduvorst Juustuga, SAAREMAA LT, 250 g","1,99 €  7,96 €/kg "
565,"Sealiha omas mahlas, RANNAROOTSI, 240 g","1,99 €  8,29 €/kg "
566,"Viiner 77,7%, MAKS&MOORITS, 400 g","2,99 €  7,48 €/kg "
567,"Vasikalihasült, RANNAROOTSI, 330 g","2,79 €  8,45 €/kg "
568,"Toorsuitsutatud seavälisfilee, RAKVERE LK, 100 g","1,99 €  19,90 €/kg "
569,"Suitsutatud kanafilee, TALLEGG, kg","7,99 €  7,99 €/kg "
570,"Lihakas Suitsujuustuvorst, RAKVERE LK, 360 g","2,49 €  6,92 €/kg "
571,"Krabimaitselised pulgad Smart Choice, VICI, 400 g","2,09 €  5,23 €/kg "
572,"Sea välisfilee, RAKVERE LK, kg","6,99 € 6,99 €/kg "
573,"Jahutatud pardifilee nahaga, RANNAMÕISA, kg","14,99 €  14,99 €/kg "
574,"Hot-Dogi vorstikesed, MAKS&MOORITS, 300 g","2,49 €  8,30 €/kg "
575,"Sink Sikassaare, SAAREMAA LT, 150 g","2,19 €  14,60 €/kg "
576,"Pepperoni Super snäkk, MAKS&MOORITS, 85 g","1,79 €  21,06 €/kg "
577,"Maksarõngas, RAKVERE LK, 300 g","1,49 €  4,97 €/kg "
578,"Pooltiivad klassikalises marinaadis, TALLEGG, 800 g","2,99 €  3,74 €/kg "
579,"Suitsukanakuubikud, TALLEGG, 300 g","2,69 €  8,97 €/kg "
580,"Juustulõige viilutatud, RANNAROOTSI, 150 g","1,59 €  10,60 €/kg "
581,"Paneeritud hakkšnitsel, MAKS&MOORITS, 400 g","2,29 €  5,73 €/kg "
582,"Täislihaviiner, NÕO LIHAVÜRST, 310 g","2,99 €  9,65 €/kg "
583,"Verivorst, RAKVERE LK, 500 g","1,89 €  3,78 €/kg "
584,"Poolkoivad klassikalises marinaadis, TALLEGG, 800 g","3,39 €  4,24 €/kg "
585,"Pasteet Karni, KARNI, 170 g","1,29 €  7,59 €/kg "
586,"Vürtsikilu filee, BRIIS, 160 g","2,29 €  14,31 €/kg "
587,"Einepeekon, RAKVERE LK, 130 g","1,69 €  13,00 €/kg "
588,"Täissuitsuvorst Parmigano Reggiano juustuga, KARNI, 250 g","3,59 €  14,36 €/kg "
589,"Klassikalised toorvorstikesed, RANNAROOTSI, 450 g","4,49 €  9,98 €/kg "
590,"Lastevorst 77,7%, MAKS&MOORITS, 350 g","2,79 €  7,97 €/kg "
591,"Saaremaa linnulihasült, SAAREMAA LT, 300 g","2,99 €  9,97 €/kg "
592,"Eestimaine broileritiib, TALLEGG, kg","2,99 €  2,99 €/kg "
593,"Suitsutatud kana kintsuliha, TALLEGG, kg","8,99 €  8,99 €/kg "
594,"Klassikaline Super snäkk, MAKS&MOORITS, 85 g","1,59 €  18,71 €/kg "
595,"Räimed koduses marinaadis, VIRU RAND, 430 g / neto 215 g","2,59 €  12,05 €/kg "
596,"Raguu, RAKVERE, 1,3kg","1,59 €  1,22 €/kg "
597,"Suitsusardell, RANNAROOTSI, 500 g","2,59 €  5,18 €/kg "
598,"Veiseliha omas mahlas, RANNAROOTSI, 240 g","1,99 €  8,29 €/kg "
599,"Krevetid soolvees 100 g neto, VICI, 200 g","3,99 €  39,90 €/kg "
600,"Maamehesink, MAKS&MOORITS, kg","9,99 €  9,99 €/kg "
601,"Grill-liha Armeenia, MAKS&MOORITS, 500 g","4,59 €  9,18 €/kg "
602,"Veisesink Fitlap, NÕO LIHAVÜRST, 105 g","1,99 €  18,95 €/kg "
603,"Võileivavorst, VALLA, 240 g","0,59 €  2,46 €/kg "
604,"Krakovi poolsuitsuvorst EHE, RANNAROOTSI, 270 g","2,49 €  9,22 €/kg "
605,"Kanapooltiivad Mustika, RANNAMÕISA, 500 g","2,99 €  5,98 €/kg "
606,"Sinkvorst XL (viilutatud), MAKS&MOORITS, 300 g","2,29 €  7,63 €/kg "
607,"Õllemops juustuga, WÕRO, 500 g","2,59 €  5,18 €/kg "
608,"Suitsusingike, RAKVERE LK, 350 g","3,69 €  10,54 €/kg "
609,"Räimed tomatimarinaadis, VIRU RAND, 430 g","2,59 €  6,02 €/kg "
610,"Kanasigar juustuga, TALLEGG, 200 g","2,59 €  12,95 €/kg "
611,"Õrnas soolas tilliga vikerforellifilee, viilutatud, HEIMON, 90 g","2,99 €  33,22 €/kg "
612,"Põdra snäkk, KARNI, 120 g","2,99 €  24,92 €/kg "
613,"Väike kotlet, KIKAS, 290 g","1,29 €  4,45 €/kg "
614,"Suitsuvorst 77,7%, MAKS&MOORITS, 300 g","2,59 €  8,63 €/kg "
615,"Poolsuitsuvorst Krakovi, NÕO LIHAVÜRST, 270 g","2,59 €  9,59 €/kg "
616,"Forellimari, RANNAKÜLA, 200 g","21,90 €  109,50 €/kg "
617,"Veise pipraliha, KARNI, 120 g","2,49 €  20,75 €/kg "
618,"Traditional salami, RAKVERE LK, 250 g","3,99 €  15,96 €/kg "
619,"Kanamaks, RANNAMÕISA, 450 g","1,29 €  2,87 €/kg "
620,"Praetud räimed tomatikastmes, RANNAKÜLA, 240 g","1,79 €  7,46 €/kg "
621,"Täissuitsuvorst Vene, NÕO LIHAVÜRST, 250 g","3,59 €  14,36 €/kg "
622,"Tex-mex kanatiivad suitsutatud, RANNAMÕISA, 300 g","2,29 €  7,63 €/kg "
623,"Kanafilee hakksnitsel, TALLEGG, 340 g","2,79 €  8,21 €/kg "
624,"Maasuitsu kaelakarbonaad viilutatud, RANNAROOTSI, 150 g","1,99 €  13,27 €/kg "
625,"Kanaviiner, MAKS&MOORITS, 500 g","1,89 €  3,78 €/kg "
626,"Suitsutatud Doktorivorst, MAKS&MOORITS, 550 g","3,49 €  6,35 €/kg "
627,"Lõunasink, OSKAR, 300 g","2,19 €  7,30 €/kg "
628,"Täissuitsu põdravorst, LINNAMÄE LIHATÖÖSTUS, 230 g","4,39 €  19,09 €/kg "
629,"Hautatud veiselihaga konserv, FRANK POTT, 240 g","1,29 €  5,38 €/kg "
630,"Tuunikala tükid tomatikastmes, KAPTEN GRANT, 185 g","1,99 €  10,76 €/kg "
631,"Italian salami, RAKVERE LK, 150 g","2,99 €  19,93 €/kg "
632,"Lihapallid, SAAREMAA LT, 345 g","2,59 €  7,51 €/kg "
633,"Vürtsine sealiha, RANNAROOTSI, 240 g","2,29 €  9,54 €/kg "
634,"Tuunikalatükid vees, CALVO, 142 g","2,49 €  17,54 €/kg "
635,"Lihapihvid kukeseene-ürdisulajuustu täidis., MAKS&MOORITS, 400 g","3,29 €  8,23 €/kg "
636,"Poolsuitsuvorst Viljandi, OSKAR, 120 g","1,39 €  11,58 €/kg "
637,"Kalkunikintsuliha, RANNAMÕISA, kg","8,59 €  8,59 €/kg "
638,"Poolsuitsuvorst Mini, NÕO LIHAVÜRST, 135 g","1,99 €  14,74 €/kg "
639,"Atlandi heeringafilee tükid sibulaga õlis, VICI, 200 g","1,89 €  9,45 €/kg "
640,"Poolkoivad jogurti-tillimarinaadis, TALLEGG, 800 g","3,39 €  4,24 €/kg "
641,"Kaelakarbonaad, NÕO LIHAVÜRST, 135 g","1,99 €  14,74 €/kg "
642,"Tuunikalatükid õlis Jalapeño pipraga, CALVO, 142 g","2,49 €  17,54 €/kg "
643,"Veisevürtsisink, OSKAR, 100 g","1,99 €  19,90 €/kg "
644,"Jäägri grillvorstid, NÕO LIHAVÜRST, 365 g","3,99 €  10,93 €/kg "
645,"Heeringafilee vähesoolane, KAPTEN GRANT, 400 g","2,89 €  7,23 €/kg "
646,"Seapraad kondi- ja kamaraga, MAKS&MOORITS, kg","5,99 €  5,99 €/kg "
647,"Lihakas Krakov, RAKVERE LK, 300 g","2,99 €  9,97 €/kg "
648,"Hernesupikogu, RAKVERE LK, 800 g","2,19 €  2,74 €/kg "
649,"Soolapeekon, NÕO LIHAVÜRST, kg","7,99 €  7,99 €/kg "
650,"Veiseböfstrooganov, KARNI, 400 g","4,39 €  10,98 €/kg "
651,"Suitsutatud juustuvorst, MAKS&MOORITS, 550 g","3,49 €  6,35 €/kg "
